order_book_id,datetime,trading_date,open,last,high,low,prev_close,volume,total_turnover,limit_up,limit_down,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,a1_v,a2_v,a3_v,a4_v,a5_v,b1_v,b2_v,b3_v,b4_v,b5_v,change_rate,num_trades
000001.XSHE,2022-08-25 09:15:00,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.4,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,5700.0,25700.0,0.0,0.0,0.0,5700.0,0.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:15:09,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.4,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,37600.0,73600.0,0.0,0.0,0.0,37600.0,0.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:15:18,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.4,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,43300.0,67900.0,0.0,0.0,0.0,43300.0,0.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:15:27,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.4,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,43300.0,75100.0,0.0,0.0,0.0,43300.0,0.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:15:54,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.4,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,43500.0,74900.0,0.0,0.0,0.0,43500.0,0.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:16:12,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.4,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,44300.0,74100.0,0.0,0.0,0.0,44300.0,0.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:16:21,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.4,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,45000.0,73400.0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:16:39,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.4,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,45000.0,76400.0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:16:48,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.4,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,46100.0,75600.0,0.0,0.0,0.0,46100.0,0.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:16:57,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.4,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,48000.0,73800.0,0.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:17:06,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.46,0.0,0.0,0.0,0.0,12.46,0.0,0.0,0.0,0.0,138300.0,0.0,0.0,0.0,0.0,138300.0,28700.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:17:24,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.46,0.0,0.0,0.0,0.0,12.46,0.0,0.0,0.0,0.0,138300.0,0.0,0.0,0.0,0.0,138300.0,32700.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:17:33,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.46,0.0,0.0,0.0,0.0,12.46,0.0,0.0,0.0,0.0,138300.0,0.0,0.0,0.0,0.0,138300.0,32800.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:17:42,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.46,0.0,0.0,0.0,0.0,12.46,0.0,0.0,0.0,0.0,140800.0,0.0,0.0,0.0,0.0,140800.0,45500.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:17:51,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.46,0.0,0.0,0.0,0.0,12.46,0.0,0.0,0.0,0.0,142200.0,0.0,0.0,0.0,0.0,142200.0,44100.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:18:00,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.46,0.0,0.0,0.0,0.0,12.46,0.0,0.0,0.0,0.0,142200.0,0.0,0.0,0.0,0.0,142200.0,44800.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:18:09,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.46,0.0,0.0,0.0,0.0,12.46,0.0,0.0,0.0,0.0,142200.0,0.0,0.0,0.0,0.0,142200.0,44900.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:18:18,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.46,0.0,0.0,0.0,0.0,12.46,0.0,0.0,0.0,0.0,142200.0,0.0,0.0,0.0,0.0,142200.0,29800.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:18:27,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.4,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,67700.0,57400.0,0.0,0.0,0.0,67700.0,0.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:18:36,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.4,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,67000.0,58000.0,0.0,0.0,0.0,67000.0,0.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:18:45,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.4,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,71100.0,54800.0,0.0,0.0,0.0,71100.0,0.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:19:03,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.4,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,70800.0,55100.0,0.0,0.0,0.0,70800.0,0.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:19:12,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.4,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,70800.0,55600.0,0.0,0.0,0.0,70800.0,0.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:19:21,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.4,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,70800.0,40900.0,0.0,0.0,0.0,70800.0,0.0,0.0,0.0,0.0,0.0,0.0
000001.XSHE,2022-08-25 09:19:30,2022-08-25,0.0,12.4,0.0,0.0,12.4,0.0,0.0,13.64,11.16,12.4,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,83200.0,30300.0,0.0,0.0,0.0,83200.0,0.0,0.0,0.0,0.0,0.0,0.0
